year,type,number
1983,State Prisons,393015
1983,Federal Prisons,26331
1983,Local Jails,223551
1984,State Prisons,415796
1984,Federal Prisons,27602
1984,Local Jails,234500
1985,State Prisons,447873
1985,Federal Prisons,32695
1985,Local Jails,256615
1986,State Prisons,485553
1986,Federal Prisons,36531
1986,Local Jails,274444
1987,State Prisons,521289
1987,Federal Prisons,39523
1987,Local Jails,295873
1988,State Prisons,560994
1988,Federal Prisons,42738
1988,Local Jails,343569
1989,State Prisons,633739
1989,Federal Prisons,47168
1989,Local Jails,395553
1990,State Prisons,689577
1990,Federal Prisons,50403
1990,Local Jails,405320
1991,State Prisons,732916
1991,Federal Prisons,56696
1991,Local Jails,426479
1992,State Prisons,780571
1992,Federal Prisons,65706
1992,Local Jails,444584
1993,State Prisons,857675
1993,Federal Prisons,74399
1993,Local Jails,459804
1994,State Prisons,936896
1994,Federal Prisons,79795
1994,Local Jails,486474
1995,State Prisons,1001359
1995,Federal Prisons,83663
1995,Local Jails,507044
1996,State Prisons,1048907
1996,Federal Prisons,88815
1996,Local Jails,518492
1997,State Prisons,1099347
1997,Federal Prisons,94987
1997,Local Jails,567079
1998,State Prisons,1152792
1998,Federal Prisons,103682
1998,Local Jails,592462
1999,State Prisons,1189806
1999,Federal Prisons,114275
1999,Local Jails,605943
2000,State Prisons,1209130
2000,Federal Prisons,125044
2000,Local Jails,621149
2001,State Prisons,1208708
2001,Federal Prisons,136509
2001,Local Jails,631240
2002,State Prisons,1237476
2002,Federal Prisons,143040
2002,Local Jails,665475
2003,State Prisons,1256442
2003,Federal Prisons,151919
2003,Local Jails,691301
2004,State Prisons,1274591
2004,Federal Prisons,159137
2004,Local Jails,713990
2005,State Prisons,1296693
2005,Federal Prisons,166173
2005,Local Jails,747529
2006,State Prisons,1331065
2006,Federal Prisons,173533
2006,Local Jails,765819
2007,State Prisons,1353647
2007,Federal Prisons,179204
2007,Local Jails,780174
2008,State Prisons,1365409
2008,Federal Prisons,182333
2008,Local Jails,785533
2009,State Prisons,1365688
2009,Federal Prisons,187886
2009,Local Jails,767434
2010,State Prisons,1362028
2010,Federal Prisons,190641
2010,Local Jails,748728
2011,State Prisons,1341797
2011,Federal Prisons,197050
2011,Local Jails,735601
2012,State Prisons,1315856
2012,Federal Prisons,196574
2012,Local Jails,744524
2013,State Prisons,1325305
2013,Federal Prisons,195098
2013,Local Jails,731208
2014,State Prisons,1316407
2014,Federal Prisons,191374
2014,Local Jails,744592
2015,State Prisons,1298159
2015,Federal Prisons,178688
2015,Local Jails,727400
2016,State Prisons,1286691
2016,Federal Prisons,171482
2016,Local Jails,740700
2017,State Prisons,1306131
2017,Federal Prisons,183058
2017,Local Jails,745200
2018,State Prisons,1285260
2018,Federal Prisons,179898
2018,Local Jails,738400
